,name,War,Film-Noir,Sci-Fi,History,Music,Musical,Fantasy,Thriller,Romance,Horror,Mystery,Family,Animation,Comedy,Drama,Biography,Adventure,Action,Crime,Western,Sport,Films,Produced
1961,Elizabeth McGovern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5321508
1962,James Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,47759808
1963,Billy Crudup,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,3,1,0,0,0,3,101167160
1964,Yûko Tanaka,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2375308
1965,Yuriko Ishida,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2375308
1966,Yôji Matsuda,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2375308
1967,Mark Boone Junior,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25544867
1968,Joe Pantoliano,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25544867
1969,Guy Pearce,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,1,1,0,0,3,144395869
1970,Kim Byeong-Ok,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,707481
1971,Kang Hye-jeong,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,707481
1972,Yoo Ji-Tae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,707481
1973,Choi Min-sik,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,2,835873
1974,Ulrich Tukur,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,13508759
1975,Sebastian Koch,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,15684504
1976,Martina Gedeck,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,11286112
1977,Ulrich Mühe,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,2,11286112
1978,Fred Willard,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,223808164
1979,Jeff Garlin,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,223808164
1980,Elissa Knight,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,223808164
1981,Ben Burtt,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,223808164
1982,Tisca Chopra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1223869
1983,Darsheel Safary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1223869
1984,Amole Gupte,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1223869
1985,Sharman Joshi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,8730239
1986,Mona Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6532908
1987,Tom Hardy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,1,5,987865609
1988,Kerry Washington,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,255742895
1989,Christoph Waltz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,162805434
1990,Jamie Foxx,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,1,0,1,1,0,4,238137034
1991,Benjamin Bratt,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,214222598
1992,Gael García Bernal,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,2,0,0,0,0,4,245488554
1993,Anthony Gonzalez,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,209726015
1994,Adrian Molina,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,209726015
1995,Chris Hemsworth,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,3,1020821395
1996,Mark Ruffalo,0,0,1,1,0,0,0,1,0,0,2,0,0,1,4,2,3,3,2,0,0,7,2058395565
1997,Chris Evans,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,4,4,1,0,0,6,2339664431
1998,Robert Downey Jr.,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,6,6,1,0,0,7,3129073242
1999,Joe Russo,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,4,2205039403
2000,Jake Johnson,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,190241310
2001,Shameik Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,190241310
2002,Rodney Rothman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,190241310
2003,Peter Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,190241310
2004,Sanya Malhotra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2,12391761
2005,Fatima Sana Shaikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,12391761
2006,Sakshi Tanwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,12391761
2007,Aamir Khan,0,0,0,0,0,2,0,0,2,0,0,1,0,5,7,1,1,2,1,0,0,8,33032420
2008,Aoi Yûki,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,5017246
2009,Ryô Narita,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5017246
2010,Mone Kamishiraishi,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5017246
2011,Ryûnosuke Kamiki,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,2,24219989
2012,Shraddha Srinath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
